,GameID,SeasonID,HomeID,AwayID,WinID,LossID,HomePts,AwayPts,GameDate,Home,Home3PM,Home3PA,Away,Away3PM,Away3PA,HomeWin,AwayWin,3PAResult,3PAABS,3PMResult,3PMABS,3P%Result,3P%ABS
245,201011131,6,1,16,1,16,81,73,11/13/2010,Saint Rose,6,16,Dominican (N.Y.),8,22,1,0,0,6,0,2,1,1.1
3008,2014021816,9,16,17,16,17,90,83,2/18/2014,Dominican (N.Y.),4,11,Felician,6,17,1,0,0,6,0,2,1,1.1
2804,2013120738,9,38,34,34,38,62,75,12/7/2013,Dist. Columbia,8,22,LIU Post,6,16,0,1,0,6,0,2,1,1.1
1134,201712076,13,6,18,18,6,68,73,12/7/2017,Pace,7,25,Caldwell,5,19,0,1,0,6,0,2,0,1.7
1199,201802108,13,8,13,13,8,80,83,2/10/2018,Assumption,12,30,Saint Michael's,10,24,0,1,0,6,0,2,1,1.7
2060,2011021925,6,25,22,25,22,87,81,2/19/2011,Holy Family,7,17,Nyack,9,23,1,0,0,6,0,2,1,2.1
2214,2012010328,7,28,26,28,26,64,58,1/3/2012,Chestnut Hill,7,17,USciences,9,23,1,0,0,6,0,2,1,2.1
1703,2010011635,5,35,34,34,35,75,113,1/16/2010,Mercy,11,27,LIU Post,9,21,0,1,0,6,0,2,1,2.2
3321,2015020428,10,28,26,26,28,62,78,2/4/2015,Chestnut Hill,6,16,USciences,4,10,0,1,0,6,0,2,1,2.5
4434,2018012017,13,17,26,26,17,62,67,1/20/2018,Felician,6,25,USciences,4,19,0,1,0,6,0,2,0,2.9
958,201602282,11,2,15,15,2,101,103,2/28/2016,Adelphi,17,33,Stonehill,15,27,0,1,0,6,0,2,1,4.1
2714,2013110913,9,13,37,13,37,90,76,11/9/2013,Saint Michael's,9,18,Queens (N.Y.),11,24,1,0,0,6,0,2,1,4.2
323,201101253,6,3,13,3,13,61,54,1/25/2011,American Int'l,5,11,Saint Michael's,7,17,1,0,0,6,0,2,1,4.3
2851,2014010431,9,31,30,30,31,75,79,1/4/2014,St. Thomas Aquinas,6,15,Daemen,4,9,0,1,0,6,0,2,1,4.4
3010,2014021823,9,23,27,27,23,63,66,2/18/2014,Wilmington (Del.),4,19,Goldey-Beacom,2,13,0,1,0,6,0,2,0,5.7
1272,201812197,14,7,21,7,21,97,76,12/19/2018,So. Connecticut,10,34,Concordia (N.Y.),12,28,1,0,1,6,0,2,0,13.5
353,201102192,6,2,3,2,3,69,63,2/19/2011,Adelphi,4,21,American Int'l,6,15,1,0,1,6,0,2,0,21
2234,2012011132,7,32,39,32,39,78,65,1/11/2012,Bridgeport,6,23,Molloy,8,17,1,0,1,6,0,2,0,21
4060,2017012426,12,26,29,26,29,68,58,1/24/2017,USciences,3,19,Georgian Court,5,13,1,0,1,6,0,2,0,22.7
1210,201802202,13,2,3,2,3,78,77,2/20/2018,Adelphi,12,33,American Int'l,10,27,1,0,1,6,1,2,0,0.6
2090,2011030632,6,32,34,34,32,64,68,3/6/2011,Bridgeport,5,14,LIU Post,7,20,0,1,1,6,1,2,0,0.7
2566,2013011936,8,36,34,36,34,80,78,1/19/2013,NYIT,7,20,LIU Post,5,14,1,0,1,6,1,2,0,0.7
3772,2016022015,11,15,14,15,14,69,66,2/20/2016,Stonehill,9,25,So. New Hampshire,7,19,1,0,1,6,1,2,0,0.8
3834,2016111236,12,36,23,23,36,70,75,11/12/2016,NYIT,9,23,Wilmington (Del.),11,29,0,1,1,6,1,2,0,1.2
1992,2011012914,6,14,8,14,8,84,80,1/29/2011,So. New Hampshire,11,29,Assumption,9,23,1,0,1,6,1,2,0,1.2
3392,2015022125,10,25,22,25,22,79,69,2/21/2015,Holy Family,8,30,Nyack,6,24,1,0,1,6,1,2,1,1.7
1032,201701106,12,6,13,13,6,61,62,1/10/2017,Pace,3,11,Saint Michael's,5,17,0,1,1,6,1,2,1,2.1
435,201201113,7,3,9,9,3,58,61,1/11/2012,American Int'l,7,17,Bentley,9,23,0,1,1,6,1,2,0,2.1
4819,2019012035,14,35,33,33,35,63,76,1/20/2019,Mercy,7,17,Roberts Wesleyan,9,23,0,1,1,6,1,2,0,2.1
938,201602094,11,4,6,4,6,64,56,2/9/2016,Le Moyne,9,23,Pace,7,17,1,0,1,6,1,2,0,2.1
2564,2013011925,8,25,23,25,23,79,64,1/19/2013,Holy Family,10,24,Wilmington (Del.),8,18,1,0,1,6,1,2,0,2.7
3798,2016022725,11,25,16,25,16,76,60,2/27/2016,Holy Family,6,24,Dominican (N.Y.),4,18,1,0,1,6,1,2,1,2.8
3967,2016123115,12,15,32,15,32,87,83,12/31/2016,Stonehill,9,22,Bridgeport,7,16,1,0,1,6,1,2,0,2.9
3609,2016010920,11,20,26,26,20,66,69,1/9/2016,Bloomfield,2,8,USciences,4,14,0,1,1,6,1,2,1,3.6
1750,2010020218,5,18,16,16,18,67,74,2/2/2010,Caldwell,7,13,Dominican (N.Y.),9,19,0,1,1,6,1,2,0,6.4
1262,201812045,14,5,6,6,5,52,57,12/4/2018,New Haven,3,26,Pace,5,20,0,1,0,6,1,2,1,13.5
1057,201701286,12,6,14,14,6,67,79,1/28/2017,Pace,9,32,So. New Hampshire,11,26,0,1,0,6,1,2,1,14.2
2327,2012020925,7,25,26,25,26,61,53,2/9/2012,Holy Family,7,19,USciences,5,25,1,0,0,6,1,2,1,16.8
3479,2015112115,11,15,12,12,15,76,81,11/21/2015,Stonehill,7,27,Saint Anselm,9,21,0,1,0,6,1,2,1,17
2878,2014011132,9,32,36,36,32,92,94,1/11/2014,Bridgeport,8,27,NYIT,10,21,0,1,0,6,1,2,1,18
4028,2017011433,12,33,36,36,33,75,85,1/14/2017,Roberts Wesleyan,5,24,NYIT,7,18,0,1,0,6,1,2,1,18.1
1019,201612305,12,5,37,5,37,83,61,12/30/2016,New Haven,8,18,Queens (N.Y.),6,24,1,0,0,6,1,2,1,19.4
2458,2012120136,8,36,39,36,39,78,73,12/1/2012,NYIT,7,17,Molloy,5,23,1,0,0,6,1,2,1,19.5
4903,2019021310,14,10,11,10,11,89,76,2/13/2019,Franklin Pierce,12,21,Merrimack,10,27,1,0,0,6,1,2,1,20.1
1826,2010030520,5,20,27,27,20,82,84,3/5/2010,Bloomfield,9,26,Goldey-Beacom,11,20,0,1,0,6,1,2,1,20.4
1435,2008127515,4,2,37,2,37,76,53,12/7/2008,Adelphi,6,15,Queens (N.Y.),4,21,1,0,0,6,1,2,1,21
3507,2015120214,11,14,8,14,8,91,56,12/2/2015,So. New Hampshire,7,16,Assumption,5,22,1,0,0,6,1,2,1,21.1
2831,2013122120,9,20,1,1,20,82,94,12/21/2013,Bloomfield,5,22,Saint Rose,7,16,0,1,0,6,1,2,1,21.1
871,201512059,11,9,14,9,14,93,77,12/5/2015,Bentley,9,15,So. New Hampshire,7,21,1,0,0,6,1,2,1,26.7
751,201412033,10,3,4,4,3,72,85,12/3/2014,American Int'l,6,19,Le Moyne,8,13,0,1,0,6,1,2,1,29.9
6,20091227,5,7,2,7,2,60,57,12/2/2009,So. Connecticut,6,10,Adelphi,4,16,1,0,0,6,1,2,1,35
2947,2014020117,9,17,26,26,17,62,80,2/1/2014,Felician,3,15,USciences,5,9,0,1,0,6,1,2,1,35.6
