,ID,Team,Conference,Season,GP,Wins,Losses,Points,FGM,FGA,TPM,TPA,NCAA
293,6,Pace,NE10,2015-16,28,9,19,1930,709,1671,173,506,0
294,6,Pace,NE10,2016-17,28,7,21,1892,699,1661,206,609,0
295,6,Pace,NE10,2017-18,28,8,20,1957,712,1658,153,502,0
296,6,Pace,NE10,2018-19,30,16,14,2117,757,1698,157,570,0
297,19,Post,CACC,2008-09,27,16,12,2099,770,1792,216,642,0
298,19,Post,CACC,2009-10,30,14,16,2296,857,1985,152,504,0
299,19,Post,CACC,2010-11,32,18,14,2255,837,2044,245,717,0
300,19,Post,CACC,2011-12,28,13,15,1908,720,1746,158,470,0
301,19,Post,CACC,2012-13,25,13,12,1831,652,1576,247,640,0
302,19,Post,CACC,2013-14,24,9,15,1799,657,1519,212,575,0
303,19,Post,CACC,2014-15,26,12,14,1834,662,1634,198,569,0
304,19,Post,CACC,2015-16,27,14,13,1978,729,1668,206,602,0
305,19,Post,CACC,2016-17,27,11,16,1831,685,1629,176,538,0
306,19,Post,CACC,2017-18,28,7,21,1923,728,1755,218,658,0
307,19,Post,CACC,2018-19,28,10,18,2251,840,2017,239,728,0
308,37,Queens (N.Y.),ECC,2008-09,27,7,20,1895,668,1639,171,552,0
309,37,Queens (N.Y.),ECC,2009-10,30,19,11,2238,799,1778,146,449,0
310,37,Queens (N.Y.),ECC,2010-11,23,17,7,1713,594,1357,152,446,0
311,37,Queens (N.Y.),ECC,2011-12,26,4,22,1611,573,1440,148,435,0
312,37,Queens (N.Y.),ECC,2012-13,27,11,16,1855,649,1568,144,483,0
313,37,Queens (N.Y.),ECC,2013-14,27,9,18,1753,616,1458,124,400,0
314,37,Queens (N.Y.),ECC,2014-15,28,7,21,1966,695,1604,251,665,0
315,37,Queens (N.Y.),ECC,2015-16,25,11,14,1821,690,1552,156,489,0
316,37,Queens (N.Y.),ECC,2016-17,26,13,13,2010,710,1551,228,604,0
317,37,Queens (N.Y.),ECC,2017-18,25,9,16,1841,643,1525,235,667,0
318,37,Queens (N.Y.),ECC,2018-19,28,7,21,1773,626,1675,202,682,0
319,33,Roberts Wesleyan,ECC,2008-09,0,0,0,0,0,0,0,0,0
320,33,Roberts Wesleyan,ECC,2009-10,0,0,0,0,0,0,0,0,0
321,33,Roberts Wesleyan,ECC,2010-11,0,0,0,0,0,0,0,0,0
322,33,Roberts Wesleyan,ECC,2011-12,0,0,0,0,0,0,0,0,0
323,33,Roberts Wesleyan,ECC,2012-13,30,8,22,1974,733,1820,181,589,0
324,33,Roberts Wesleyan,ECC,2013-14,28,13,15,1915,693,1687,166,494,0
325,33,Roberts Wesleyan,ECC,2014-15,26,10,16,1807,678,1559,164,485,0
326,33,Roberts Wesleyan,ECC,2015-16,26,8,18,2016,719,1638,260,703,0
327,33,Roberts Wesleyan,ECC,2016-17,27,3,24,2021,740,1707,184,549,0
328,33,Roberts Wesleyan,ECC,2017-18,28,14,14,2124,732,1749,211,617,0
329,33,Roberts Wesleyan,ECC,2018-19,30,16,14,2214,770,1764,227,678,0
330,12,Saint Anselm,NE10,2008-09,30,17,13,2292,810,1869,248,665,0
331,12,Saint Anselm,NE10,2009-10,32,20,12,2402,858,1905,236,628,1
332,12,Saint Anselm,NE10,2010-11,30,21,9,2270,820,1838,208,594,0
333,12,Saint Anselm,NE10,2011-12,26,12,14,1790,628,1521,183,484,0
334,12,Saint Anselm,NE10,2012-13,29,23,6,2349,862,1858,245,639,1
335,12,Saint Anselm,NE10,2013-14,29,21,8,2471,899,1900,271,695,1
336,12,Saint Anselm,NE10,2014-15,29,19,10,2396,871,1837,247,686,1
337,12,Saint Anselm,NE10,2015-16,31,23,8,2622,941,1895,293,690,1
338,12,Saint Anselm,NE10,2016-17,29,20,9,2476,873,1822,281,702,1
339,12,Saint Anselm,NE10,2017-18,31,22,9,2567,908,1874,279,723,1
340,12,Saint Anselm,NE10,2018-19,32,26,6,2638,939,1920,285,718,1
341,13,Saint Michael's,NE10,2008-09,24,10,15,1508,558,1358,137,422,0
342,13,Saint Michael's,NE10,2009-10,25,9,16,1679,619,1415,195,535,0
343,13,Saint Michael's,NE10,2010-11,28,13,15,1771,653,1548,179,530,0
344,13,Saint Michael's,NE10,2011-12,26,11,15,1717,600,1409,184,519,0
345,13,Saint Michael's,NE10,2012-13,26,8,18,1563,569,1445,192,565,0
346,13,Saint Michael's,NE10,2013-14,27,18,9,2125,755,1617,233,601,0
